#1
double swslsth(384,4)
#epoch	irr_diffuse	irr_direct	temp_air
1550707200	0.0	0.0	279.6719055175781
1550708100	0.0	0.0	279.7016830444336
1550709000	0.0	0.0	279.73146057128906
1550709900	0.0	0.0	279.76123809814453
1550710800	0.0	0.0	279.791015625
1550711700	0.0	0.0	279.7717742919922
1550712600	0.0	0.0	279.7525329589844
1550713500	0.0	0.0	279.73329162597656
1550714400	0.0	0.0	279.71405029296875
1550715300	0.0	0.0	279.6400604248047
1550716200	0.0	0.0	279.5660705566406
1550717100	0.0	0.0	279.49208068847656
1550718000	0.0	0.0	279.4180908203125
1550718900	0.0	0.0	279.3989944458008
1550719800	0.0	0.0	279.37989807128906
1550720700	0.0	0.0	279.36080169677734
1550721600	0.0	0.0	279.3417053222656
1550722500	0.0	0.0	279.3234634399414
1550723400	0.0	0.0	279.3052215576172
1550724300	0.0	0.0	279.28697967529297
1550725200	0.0	0.0	279.26873779296875
1550726100	0.0	0.0	279.23644256591797
1550727000	0.0	0.0	279.2041473388672
1550727900	0.0	0.0	279.1718521118164
1550728800	0.0	0.0	279.1395568847656
1550729700	0.0	0.0	279.4256134033203
1550730600	0.0	0.0	279.711669921875
1550731500	1.32110595703125	0.0	279.9977264404297
1550732400	10.07049560546875	0.0	280.2837829589844
1550733300	17.6016845703125	0.0	280.2951965332031
1550734200	29.1361083984375	0.1435546875	280.3066101074219
1550735100	62.50563978403807	7.551513671875	280.3180236816406
1550736000	78.22923741489649	20.567626953125	280.3294372558594
1550736900	99.3531816676259	11.61767578125	280.53456115722656
1550737800	88.92036481946707	0.72900390625	280.73968505859375
1550738700	132.47529084980488	27.29736328125	280.94480895996094
1550739600	130.1125040501356	73.84326171875	281.1499328613281
1550740500	146.95725017786026	79.8505859375	281.5676040649414
1550741400	161.78716832399368	90.2158203125	281.9852752685547
1550742300	164.6057271361351	114.212890625	282.40294647216797
1550743200	203.44480794668198	31.763671875	282.82061767578125
1550744100	211.49718952178955	45.7587890625	283.0440979003906
1550745000	196.06441235542297	12.0849609375	283.267578125
1550745900	214.44382524490356	27.380859375	283.4910583496094
1550746800	207.3947253227234	145.49804687500014	283.71453857421875
1550747700	232.20248222351074	94.67773437500492	283.6867904663086
1550748600	186.68301630020142	2.7519531257917533	283.65904235839844
1550749500	189.3699688911438	3.6406250195974845	283.6312942504883
1550750400	228.43055820465088	17.25000003472035	283.6035461425781
1550751300	174.87178707122803	1.7714843798400317	283.6464614868164
1550752200	213.84918212890625	14.224609446908968	283.6893768310547
1550753100	219.41843366622925	27.66796875013517	283.73229217529297
1550754000	197.69902753829956	126.62500000574174	283.77520751953125
1550754900	182.16024947166443	157.20117188229136	283.7167205810547
1550755800	197.08887600898743	73.65429701593459	283.6582336425781
1550756700	144.17645692825317	156.62109381550846	283.59974670410156
1550757600	179.60486364364624	30.593750006718974	283.541259765625
1550758500	146.4078347682953	78.46679693049259	283.44998931884766
1550759400	124.8982617855072	77.13867187500672	283.3587188720703
1550760300	126.96906042098999	68.05468750000284	283.26744842529297
1550761200	117.30745124816895	13.800781394102765	283.1761779785156
1550762100	92.21591353416443	7.56250007947079	283.00699615478516
1550763000	75.84632468223572	2.812500000002587	282.8378143310547
1550763900	71.20890188217163	41.539062500002586	282.6686325073242
1550764800	55.79246234893799	41.31250000000233	282.49945068359375
1550765700	45.67522478103638	21.205078125002586	282.21590423583984
1550766600	33.09658622741699	7.759765625002328	281.93235778808594
1550767500	18.662973642349243	1.6679687500023284	281.64881134033203
1550768400	4.18249249458313	0.04687500000206961	281.3652648925781
1550769300	-0.038233041763305664	-0.033203124997671696	281.2062683105469
1550770200	-0.03436732292175293	0.06445312500206961	281.0472717285156
1550771100	0.028133630752563477	0.023437500002069605	280.8882751464844
1550772000	-0.014861345291137695	2.06960572136773e-12	280.7292785644531
1550772900	0.160902738571167	-0.005859374997930394	280.63475036621094
1550773800	-0.10863184928894043	0.005859375001810905	280.54022216796875
1550774700	0.0026564598083496094	-0.1347656249979304	280.44569396972656
1550775600	-0.005153179168701172	0.0800781250018109	280.3511657714844
1550776500	0.0338749885559082	-0.029296874998447797	280.2458267211914
1550777400	0.1198124885559082	0.048828125001810906	280.14048767089844
1550778300	-0.1028585433959961	-0.033203124998189094	280.03514862060547
1550779200	0.0689840316772461	0.0761718750018109	279.9298095703125
1550780100	0.10611176490783691	0.021484375001552203	279.77345275878906
1550781000	0.0006096363067626953	-0.021484374998447797	279.6170959472656
1550781900	-0.06971049308776855	-0.052734374998189094	279.4607391357422
1550782800	0.08259987831115723	0.11523437500129351	279.30438232421875
1550783700	-0.10294079780578613	-0.0781249999984478	279.23107147216797
1550784600	0.12362313270568848	-0.0742187499984478	279.1577606201172
1550785500	0.0044596195220947266	0.1347656250015522	279.0844497680664
1550786400	-0.08540081977844238	-0.029296874998706497	279.0111389160156
1550787300	0.051294565200805664	0.009765625001293503	279.0656051635742
1550788200	0.023958921432495117	0.0605468750015522	279.1200714111328
1550789100	0.025896310806274414	-0.0781249999989652	279.1745376586914
1550790000	0.05715060234069824	-0.0078124999984477955	279.22900390625
1550790900	-0.08740782737731934	0.07421875000129351	279.7497253417969
1550791800	-0.0014793872833251953	-0.03906249999870649	280.27044677734375
1550792700	0.11376738548278809	0.06250000000129351	280.7911682128906
1550793600	0.0	0.0	281.3118896484375
1550794500	0.0	0.0	281.4167251586914
1550795400	0.0	0.0	281.5215606689453
1550796300	0.0	0.0	281.6263961791992
1550797200	0.0	0.0	281.7312316894531
1550798100	0.0	0.0	281.73587799072266
