#1
double ashland(287,9)
#epoch	irradiance_global	irradiance_direct	irradiance_diffuse	irradiance_poa	power_dc_system_1	power_dc_system_2	wind_speed	temperature_ambient
1527836700	0.0	0.0	0.0	0.0	-211.0	0.0	0.3	11.4
1527837000	0.0	0.0	0.0	0.0	-297.0	0.0	0.1	11.4
1527837300	0.0	0.0	0.0	0.0	-307.0	0.0	0.2	11.4
1527837600	0.0	0.0	0.0	0.0	-263.0	0.0	0.3	11.4
1527837900	0.0	0.0	0.0	0.0	-216.0	0.0	0.3	11.4
1527838200	0.0	0.0	0.0	0.0	-227.0	0.0	0.2	11.3
1527838500	0.0	0.0	0.0	0.0	-250.0	0.0	0.0	11.3
1527838800	0.0	0.0	0.0	0.0	-244.0	0.0	0.2	11.3
1527839100	0.0	0.0	0.0	0.0	-271.0	0.0	0.2	11.2
1527839400	0.0	0.0	0.0	0.0	-236.0	0.0	0.2	11.2
1527839700	0.0	0.0	0.0	0.0	-232.0	0.0	0.3	11.2
1527840000	0.0	0.0	0.0	0.0	-256.0	0.0	0.2	11.1
1527840300	0.0	0.0	0.0	0.0	-230.0	0.0	0.3	11.1
1527840600	0.0	0.0	0.0	0.0	-259.0	0.0	0.0	11.0
1527840900	0.0	0.0	0.0	0.0	-234.0	0.0	0.3	10.9
1527841200	0.0	0.0	0.0	0.0	-278.0	0.0	0.2	11.0
1527841500	0.0	0.0	0.0	0.0	-246.0	0.0	0.2	11.0
1527841800	0.0	0.0	0.0	0.0	-226.0	0.0	0.1	10.9
1527842100	0.0	0.0	0.0	0.0	-216.0	0.0	0.2	10.9
1527842400	0.0	0.0	0.0	0.0	-249.0	0.0	0.1	10.8
1527842700	0.0	0.0	0.0	0.0	-255.0	0.0	0.3	10.7
1527843000	0.0	0.0	0.0	0.0	-261.0	0.0	0.0	10.5
1527843300	0.0	0.0	0.0	0.0	-258.0	0.0	0.0	10.3
1527843600	0.0	0.0	0.0	0.0	-267.0	0.0	0.0	10.1
1527843900	0.0	0.0	0.0	0.0	-220.0	0.0	0.0	9.8
1527844200	0.0	0.0	0.0	0.0	-242.0	0.0	0.0	9.3
1527844500	0.0	0.0	0.0	0.0	-303.0	0.0	0.0	9.0
1527844800	0.0	0.0	0.0	0.0	-284.0	0.0	0.0	8.9
1527845100	0.0	0.0	0.0	0.0	-253.0	0.0	0.0	8.9
1527845400	0.0	0.0	0.0	0.0	-205.0	0.0	0.0	9.0
1527845700	0.0	0.0	0.0	0.0	-263.0	0.0	0.0	8.9
1527846000	0.0	0.0	0.0	0.0	-237.0	0.0	0.0	8.9
1527846300	0.0	0.0	0.0	0.0	-286.0	0.0	0.0	8.5
1527846600	0.0	0.0	0.0	0.0	-234.0	0.0	0.0	8.2
1527846900	0.0	0.0	0.0	0.0	-254.0	0.0	0.1	8.4
1527847200	0.0	0.0	0.0	0.0	-270.0	0.0	0.4	8.7
1527847500	0.0	0.0	0.0	0.0	-232.0	0.0	0.6	8.7
1527847800	0.0	0.0	0.0	0.0	-265.0	0.0	0.2	8.7
1527848100	0.0	0.0	0.0	0.0	-248.0	0.0	0.3	8.6
1527848400	0.0	0.0	0.0	0.0	-253.0	0.0	0.5	8.6
1527848700	0.0	0.0	0.0	0.0	-260.0	0.0	0.5	8.6
1527849000	0.0	0.0	0.0	0.0	-241.0	0.0	0.1	8.7
1527849300	0.0	0.0	0.0	0.0	-301.0	0.0	0.0	8.9
1527849600	0.0	0.0	0.0	0.0	-258.0	0.0	0.0	8.9
1527849900	0.0	0.0	0.0	0.0	-280.0	0.0	0.0	8.7
1527850200	0.0	0.0	0.0	0.0	-213.0	0.0	0.0	8.6
1527850500	0.0	0.0	0.0	0.0	-275.0	0.0	0.2	8.8
1527850800	0.0	0.0	0.0	0.0	-297.0	0.0	0.4	8.8
1527851100	0.0	0.0	0.0	0.0	-244.0	0.0	0.0	9.1
1527851400	0.0	0.0	0.0	0.0	-238.0	0.0	0.0	9.4
1527851700	0.0	0.0	0.0	0.0	-272.0	0.0	0.1	9.2
1527852000	0.0	0.0	0.0	0.0	-233.0	0.0	0.0	9.2
1527852300	0.0	0.0	0.0	0.0	-239.0	0.0	0.0	9.3
1527852600	1.0	0.0	1.0	0.0	-267.0	0.0	0.2	9.2
1527852900	2.0	0.0	2.0	1.0	-275.0	0.0	0.0	9.4
1527853200	2.0	0.0	2.0	2.0	-250.0	0.0	0.0	9.4
1527853500	3.0	0.0	3.0	3.0	-229.0	0.0	0.0	9.5
1527853800	5.0	0.0	5.0	4.0	-233.0	0.0	0.0	9.5
1527854100	7.0	0.0	7.0	6.0	-245.0	0.0	0.0	9.5
1527854400	10.0	0.0	10.0	9.0	-242.0	0.0	0.0	9.6
1527854700	18.0	37.0	15.0	14.0	-263.0	0.0	0.0	9.7
1527855000	42.0	285.0	22.0	21.0	-233.0	0.0	0.0	9.9
1527855300	60.0	360.0	30.0	28.0	-244.0	0.0	0.0	10.5
1527855600	82.0	432.0	40.0	37.0	-271.0	0.0	0.0	10.7
1527855900	103.0	490.0	48.0	43.0	-206.0	0.0	0.0	11.0
1527856200	127.0	538.0	58.0	52.0	-263.0	8.0	0.1	10.8
1527856500	155.0	566.0	74.0	65.0	-111.0	235.0	0.1	10.8
1527856800	175.0	597.0	81.0	73.0	-184.0	388.0	0.1	10.9
1527857100	173.0	614.0	67.0	66.0	10.0	352.0	0.0	11.2
1527857400	160.0	631.0	42.0	49.0	-112.0	176.0	0.1	11.4
1527857700	163.0	641.0	33.0	52.0	-143.0	177.0	0.0	11.3
1527858000	176.0	656.0	34.0	61.0	-111.0	294.0	0.1	11.5
1527858300	190.0	668.0	35.0	110.0	-175.0	421.0	0.2	11.7
1527858600	205.0	682.0	36.0	131.0	125.0	563.0	0.0	11.8
1527858900	220.0	696.0	37.0	158.0	170.0	738.0	0.2	11.7
1527859200	234.0	709.0	37.0	148.0	259.0	908.0	0.1	11.6
1527859500	249.0	722.0	38.0	181.0	312.0	1084.0	0.2	11.8
1527859800	265.0	736.0	39.0	205.0	376.0	1286.0	0.1	12.6
1527860100	281.0	748.0	40.0	223.0	477.0	1496.0	0.1	12.8
1527860400	298.0	761.0	41.0	238.0	610.0	1719.0	0.1	12.5
1527860700	314.0	771.0	42.0	254.0	675.0	1935.0	0.1	13.1
1527861000	329.0	781.0	43.0	276.0	765.0	2169.0	0.1	13.1
1527861300	346.0	790.0	45.0	295.0	859.0	2429.0	0.3	13.0
1527861600	364.0	800.0	47.0	316.0	1016.0	2698.0	0.3	13.4
1527861900	380.0	808.0	48.0	335.0	1154.0	2944.0	0.3	12.9
1527862200	396.0	817.0	48.0	352.0	1218.0	3178.0	0.2	13.4
1527862500	410.0	827.0	46.0	368.0	1338.0	3407.0	0.3	13.6
1527862800	423.0	833.0	45.0	382.0	1475.0	3656.0	0.9	13.5
1527863100	437.0	840.0	44.0	398.0	1580.0	3909.0	1.0	12.9
1527863400	453.0	850.0	42.0	415.0	1646.0	4172.0	0.6	13.0
1527863700	468.0	859.0	41.0	433.0	1770.0	4424.0	0.4	13.5
1527864000	482.0	865.0	41.0	449.0	1870.0	4685.0	0.7	13.3
1527864300	498.0	872.0	40.0	467.0	2024.0	4949.0	0.4	13.2
1527864600	512.0	876.0	41.0	484.0	2081.0	5201.0	0.4	14.0
1527864900	527.0	880.0	41.0	501.0	2170.0	5445.0	0.4	14.0
1527865200	542.0	887.0	41.0	519.0	2310.0	5687.0	0.5	14.1
1527865500	558.0	894.0	40.0	537.0	2444.0	5939.0	0.7	13.4
1527865800	572.0	898.0	41.0	554.0	2540.0	6174.0	0.2	14.1
1527866100	588.0	905.0	40.0	572.0	2641.0	6414.0	0.3	14.5
1527866400	602.0	909.0	41.0	589.0	2824.0	6638.0	0.3	15.0
1527866700	616.0	912.0	42.0	606.0	2861.0	6844.0	0.5	15.6
1527867000	630.0	915.0	42.0	622.0	2956.0	7037.0	0.6	14.5
1527867300	645.0	921.0	42.0	639.0	2993.0	7260.0	0.3	15.6
1527867600	659.0	924.0	44.0	656.0	3145.0	7462.0	0.7	16.9
1527867900	672.0	926.0	43.0	671.0	3273.0	7666.0	1.1	14.6
1527868200	686.0	931.0	43.0	686.0	3270.0	7882.0	1.2	14.6
1527868500	699.0	934.0	43.0	702.0	3377.0	8062.0	1.4	15.1
1527868800	712.0	939.0	43.0	718.0	3393.0	8252.0	1.1	15.1
1527869100	726.0	942.0	43.0	733.0	3588.0	8438.0	1.2	15.2
1527869400	738.0	946.0	44.0	748.0	3659.0	8592.0	0.6	16.4
1527869700	751.0	950.0	43.0	762.0	3731.0	8752.0	1.4	15.9
1527870000	763.0	952.0	44.0	777.0	3752.0	8894.0	0.8	15.8
