#1
double ashland(8897,9)
#epoch	irradiance_global	irradiance_direct	irradiance_diffuse	irradiance_poa	power_dc_system_1	power_dc_system_2	wind_speed	temperature_ambient
1538377500	0.0	0.0	0.0	0.0	-274.0	0.0	0.0	10.0
1538377800	0.0	0.0	0.0	0.0	-274.0	0.0	0.0	9.8
1538378100	0.0	0.0	0.0	0.0	-240.0	0.0	0.0	9.9
1538378400	0.0	0.0	0.0	0.0	-240.0	0.0	0.0	9.8
1538378700	0.0	0.0	0.0	0.0	-251.0	0.0	0.0	9.6
1538379000	0.0	0.0	0.0	0.0	-268.0	0.0	0.0	9.4
1538379300	0.0	0.0	0.0	0.0	-271.0	0.0	0.0	9.4
1538379600	0.0	0.0	0.0	0.0	-259.0	0.0	0.0	9.6
1538379900	0.0	0.0	0.0	0.0	-278.0	0.0	0.0	9.5
1538380200	0.0	0.0	0.0	0.0	-265.0	0.0	0.2	9.9
1538380500	0.0	0.0	0.0	0.0	-264.0	0.0	0.1	10.2
1538380800	0.0	0.0	0.0	0.0	-297.0	0.0	0.0	10.2
1538381100	0.0	0.0	0.0	0.0	-265.0	0.0	0.0	10.0
1538381400	0.0	0.0	0.0	0.0	-185.0	0.0	0.0	9.8
1538381700	0.0	0.0	0.0	0.0	-259.0	0.0	0.0	9.7
1538382000	0.0	0.0	0.0	0.0	-235.0	0.0	0.0	9.5
1538382300	0.0	0.0	0.0	0.0	-239.0	0.0	0.0	9.2
1538382600	0.0	0.0	0.0	0.0	-267.0	0.0	0.0	8.9
1538382900	0.0	0.0	0.0	0.0	-240.0	0.0	0.0	8.9
1538383200	0.0	0.0	0.0	0.0	-262.0	0.0	0.0	9.3
1538383500	0.0	0.0	0.0	0.0	-248.0	0.0	0.0	9.2
1538383800	0.0	0.0	0.0	0.0	-252.0	0.0	0.0	8.9
1538384100	0.0	0.0	0.0	0.0	-270.0	0.0	0.0	8.9
1538384400	0.0	0.0	0.0	0.0	-286.0	0.0	0.0	8.8
