#1
double data(1536,5)
#epoch	irr_direct	irr_diffuse	temp_air	wind_speed
1529539200	0.0	0.0	289.3856506348	1.2959706740999999
1529540100	0.0	0.0	289.201728820825	1.282790036275
1529541000	0.0	0.0	289.01780700685003	1.26960939845
1529541900	0.0	0.0	288.833885192875	1.256428760625
1529542800	0.0	0.0	288.6499633789	1.2432481228
1529543700	0.0	0.0	288.50089263915	1.2541373500000002
1529544600	0.0	0.0	288.35182189939997	1.2650265772
1529545500	0.0	0.0	288.20275115965	1.2759158044
1529546400	0.0	0.0	288.0536804199	1.2868050316000001
1529547300	0.0	0.0	288.049674987775	1.4216072941750002
1529548200	0.0	0.0	288.04566955564997	1.55640955675
1529549100	0.0	0.0	288.041664123525	1.6912118193249999
1529550000	0.0	0.0	288.0376586914	1.8260140819
1529550900	0.0	0.0	287.865669250475	1.660243196575
1529551800	0.0	0.0	287.69367980954996	1.49447231125
1529552700	0.0016479492	4.9833984375	287.521690368625	1.328701425925
1529553600	0.1897583008	18.921875	287.3497009277	1.1629305406000001
1529554500	1.8759765625	33.3937988281	287.4833755493	1.158542004175
1529555400	7.9594726562	46.7148178928	287.61705017090003	1.15415346775
1529556300	14.827636718800001	62.2117731012	287.7507247925	1.149764931325
1529557200	30.7548828125	74.8021477908	287.8843994141	1.1453763949
1529558100	76.2294921875	71.6556623876	288.320037841825	1.2124251744999999
1529559000	103.4052734375	79.9619983733	288.75567626955	1.2794739541
1529559900	132.87109375	87.8923686147	289.191314697275	1.3465227337
1529560800	164.466796875	94.3788797259	289.626953125	1.4135715133
1529561700	198.6376953125	99.6129965782	290.100280761725	1.724471159425
1529562600	232.2509765626	105.316947341	290.57360839845	2.03537080555
1529563500	264.6484375175	111.4187802076	291.046936035175	2.346270451675
1529564400	260.0839843769	134.1925435066	291.5202636719	2.6571700978
1529565300	150.0351562501	211.0696550608	291.73692321780004	2.76307316105
1529566200	78.8398437916	265.9419621229	291.9535827637	2.8689762243
1529567100	174.4179705286	244.1873350143	292.1702423096	2.97487928755
1529568000	228.6679699612	238.3150668144	292.3869018555	3.0807823508
1529568900	325.6562509623	211.2841742039	292.701797485375	3.1193658701749998
1529569800	204.1210947395	297.9785377979	293.01669311525	3.1579493895499997
1529570700	192.457033522	312.8335084915	293.33158874512503	3.196532908925
1529571600	409.0390659483	196.8396553993	293.646484375	3.2351164283
1529572500	454.5703149825	180.9246835709	293.82710266112497	3.3818827134
1529573400	482.8593756888	177.1010227203	294.00772094725	3.5286489985
1529574300	351.9257812501	260.9598646164	294.188339233375	3.6754152836
1529575200	386.2070314723	267.7728633881	294.3689575195	3.8221815687
1529576100	330.7656302974	319.8299608231	294.0595321655	4.656294090375
1529577000	426.1562614745	283.060172081	293.7501068115	5.49040661205
1529577900	342.4453166497	268.8644475937	293.4406814575	6.3245191337249995
1529578800	483.4140641675	270.8294153214	293.1312561035	7.1586316554
1529579700	164.785156381	417.0976715088	292.70163726805	6.499972752874999
1529580600	252.5820339062	371.3193778992	292.2720184326	5.84131385035
1529581500	114.1328191512	383.136674881	291.84239959715	5.182654947825
1529582400	175.8281293068	378.0447025299	291.4127807617	4.5239960453
1529583300	130.0546898421	402.2565040588	291.5054092407	4.230643810975
1529584200	38.1015699417	391.4456520081	291.59803771969996	3.93729157665
1529585100	7.8828214457	289.1410827637	291.6906661987	3.643939342325
1529586000	178.8515741749	410.4339981079	291.7832946777	3.350587108
1529586900	547.4141148069	209.3890171051	291.99991607662497	3.65241029375
1529587800	561.6486905711	184.5759372711	292.21653747555	3.9542334795
1529588700	625.1331348651	149.2092094421	292.433158874475	4.25605666525
1529589600	606.398629453	147.5907287598	292.6497802734	4.557879851
1529590500	572.1757261828	149.7024612427	292.601837158175	4.4275199765
1529591400	483.3844298348	169.4378585815	292.55389404295	4.297160101999999
1529592300	494.0028652996	156.142414093	292.505950927725	4.1668002275
1529593200	461.2880888581	152.5852165222	292.4580078125	4.036440353
1529594100	353.8236600757	176.0551300049	292.158088684075	3.90654323325
1529595000	372.3185100555	148.3745727539	291.85816955564997	3.7766461135
1529595900	347.0320730209	150.3593215942	291.558250427225	3.6467489937499997
1529596800	224.9444170594	199.2924880981	291.2583312988	3.516851874
1529597700	324.039475143	119.2624092102	290.895782470675	3.590239066925
1529598600	238.0917850137	128.2684745789	290.53323364255	3.66362625985
1529599500	192.1521633863	141.0582008362	290.170684814425	3.737013452775
1529600400	204.405117631	112.0273704529	289.8081359863	3.8104006457
1529601300	183.5758217573	97.3700675964	289.38098907467497	3.892395113775
1529602200	152.9820247889	90.8478126526	288.95384216305	3.9743895818499997
1529603100	121.260242939	83.4394950867	288.526695251425	4.056384049925
1529604000	92.3611001968	75.2713356018	288.0995483398	4.138378518
1529604900	66.4658865929	66.4874458313	287.751747131325	3.9584117199
1529605800	43.7337741852	57.2481269836	287.40394592284997	3.7784449218
1529606700	25.0672211647	46.3244667053	287.056144714375	3.5984781236999996
1529607600	11.4180240631	34.8367805481	286.7083435059	3.4185113256
1529608500	3.6007854939	22.5036811829	286.41223144535	3.47380471635
1529609400	-0.120919466	9.8869056702	286.1161193848	3.5290981071000003
1529610300	0.3906414509	0.5730171204	285.82000732425	3.58439149785
1529611200	-0.3593771458	-0.2489433289	285.5238952637	3.6396848886
1529612100	0.4375092983	0.0635147095	285.169998168975	3.49298526725
1529613000	-0.0937654972	0.0788192749	284.81610107425	3.3462856459
1529613900	0.2109496593	0.153137207	284.46220397952504	3.1995860245500003
1529614800	-0.1171848774	-0.0895690918	284.1083068848	3.0528864032
1529615700	-0.35156226160000004	0.0940704346	283.87535858157503	3.09395655165
1529616600	0.2734425068	-0.0468902588	283.64241027835	3.1350267001
1529617500	0.2421808243	-0.1407928467	283.409461975125	3.1760968485500003
1529618400	-0.47655057910000004	0.2028656006	283.1765136719	3.217166997
1529619300	0.4531385899	0.21056365970000002	283.05162048342504	3.24407517345
1529620200	-0.0937526226	-0.1333694458	282.92672729495	3.2709833499
1529621100	0.23436188700000002	-0.0398788452	282.801834106475	3.29789152635
1529622000	-0.1562430859	0.1008377075	282.676940918	3.3247997028
1529622900	0.3437583447	0.0829849243	282.301338195825	2.9479137485
1529623800	-0.3046972752	-0.1007537842	281.92573547365	2.5710277942
1529624700	-0.058591127400000005	-0.0400772095	281.550132751475	2.1941418399000003
1529625600	0.0	0.0	281.1745300293	1.8172558856
1529626500	0.0	0.0	280.9942703247	1.7084134829250002
1529627400	0.0	0.0	280.8140106201	1.59957108025
1529628300	0.0	0.0	280.6337509155	1.490728677575
1529629200	0.0	0.0	280.4534912109	1.3818862749
1529630100	0.0	0.0	280.2955932617	1.1272624099500002
1529631000	0.0	0.0	280.1376953125	0.872638545
1529631900	0.0	0.0	279.9797973633	0.61801468005
1529632800	0.0	0.0	279.8218994141	0.3633908151
1529633700	0.0	0.0	279.708831787125	0.635240615225
1529634600	0.0	0.0	279.59576416015	0.9070904153499999
1529635500	0.0	0.0	279.482696533175	1.178940215475
1529636400	0.0	0.0	279.3696289062	1.4507900156
1529637300	0.0	0.0	279.17717742915	1.4309058688
1529638200	0.0	0.0	278.9847259521	1.411021722
1529639100	0.0296630859	4.6142578125	278.79227447504996	1.3911375752
1529640000	1.3990478516	16.8984375	278.599822998	1.3712534284
1529640900	7.3010253905999996	29.1735839844	278.78461456294997	1.293663919275
1529641800	18.5529785156	40.9927187229	278.9694061279	1.21607441015
1529642700	34.8989257812	51.9576248021	279.15419769285	1.138484901025
1529643600	55.802734375	61.9980898742	279.3389892578	1.0608953919
1529644500	80.3701171875	71.1086445451	279.81297302245	1.2735306466499998
1529645400	108.0107421875	79.4463478923	280.2869567871	1.4861659014
1529646300	137.4580078125	87.4073678255	280.76094055174997	1.69880115615
1529647200	165.8564453125	96.3364855051	281.2349243164	1.9114364109
1529648100	195.865234375	104.6614132524	281.70283508299997	2.04805914075
