#1
double ashland(8897,9)
#epoch	irradiance_global	irradiance_direct	irradiance_diffuse	irradiance_poa	power_dc_system_1	power_dc_system_2	wind_speed	temperature_ambient
970422300	634	918	40	802	4309	0	0.8	22.6
970422600	641	920	40	810	4397	0	0.8	22.7
970422900	648	925	40	820	4419	0	0.6	22.7
970423200	655	927	41	829	4488	0	0.5	23.2
970423500	659	928	41	833	4466	0	1.0	22.9
970423800	665	933	40	840	4513	0	0.8	22.9
970424100	668	933	40	842	4531	0	0.7	23.0
970424400	669	931	39	843	4515	0	0.6	23.4
970424700	675	939	37	849	4593	0	0.7	22.9
970425000	675	936	36	847	4577	0	1.0	23.1
970425300	677	936	36	849	4561	0	0.5	23.0
970425600	679	937	36	851	4549	0	0.9	23.4
970425900	680	938	35	853	4567	0	0.7	23.2
970426200	682	938	36	854	4578	0	0.7	23.6
970426500	683	939	35	854	4573	0	0.7	23.7
970426800	684	940	36	856	4581	0	0.9	23.4
970427100	685	941	36	858	4617	0	0.6	23.7
970427400	686	943	35	859	4599	0	0.6	23.8
970427700	685	957	26	857	4600	0	0.7	23.7
970428000	683	941	36	853	4561	0	0.8	23.7
970428300	682	939	37	852	4568	0	0.6	23.8
970428600	680	940	36	849	4528	0	0.9	23.8
970428900	677	939	35	845	4546	0	0.9	23.7
970429200	676	940	36	843	4487	0	1.0	24.0
970429500	672	938	36	838	4497	0	0.6	23.8
970429800	668	939	34	834	4460	0	0.7	24.4
970430100	666	941	34	831	4452	0	1.2	24.1
970430400	663	941	35	826	4421	0	1.2	24.1
970430700	658	940	35	820	4391	0	0.9	24.2
970431000	653	939	35	814	4385	0	1.3	23.8
970431300	648	938	35	807	4343	0	0.8	24.1
970431600	642	936	35	801	4265	0	1.0	24.2
970431900	638	936	35	795	4240	0	1.1	24.3
970432200	633	937	35	788	4216	0	0.8	24.3
970432500	626	937	35	781	4196	0	0.9	24.3
970432800	620	938	33	772	4108	0	1.1	24.4
970433100	614	939	33	764	4072	0	1.3	24.2
970433400	605	935	34	753	4030	0	0.6	24.4
970433700	597	935	33	743	3948	0	0.5	24.8
970434000	589	932	33	733	3874	0	1.0	24.7
970434300	582	935	32	723	3873	0	0.9	24.6
970434600	571	926	34	709	3778	0	1.5	24.6
970434900	562	927	32	698	3720	0	0.6	24.7
970435200	551	924	31	684	3614	0	1.0	25.0
970435500	540	921	30	671	3539	0	0.7	24.6
970435800	530	918	31	658	3458	0	0.7	24.6
970436100	518	915	30	643	3359	0	1.1	24.7
970436400	507	908	31	629	3305	0	0.9	24.6
970436700	496	905	31	616	3220	0	0.7	24.7
970437000	485	903	31	601	3154	0	0.5	24.8
970437300	473	900	30	587	3058	0	0.8	24.9
970437600	461	895	31	573	2977	0	1.2	24.4
970437900	449	893	30	557	2858	0	0.7	24.6
970438200	437	888	30	542	2783	0	0.4	24.8
970438500	425	884	30	527	2700	0	0.7	24.7
970438800	412	882	29	511	2583	0	0.7	24.7
970439100	399	875	30	495	2498	0	0.4	24.8
970439400	385	869	29	477	2400	0	0.5	24.8
970439700	372	866	28	461	2287	0	0.5	24.7
970440000	359	862	28	445	2182	0	0.5	24.7
970440300	344	857	27	427	2055	0	0.4	24.6
970440600	330	849	27	410	1949	0	0.6	24.6
970440900	316	841	27	392	1829	0	0.3	24.6
970441200	302	836	26	374	1711	0	0.5	24.7
970441500	287	827	26	356	1588	0	0.6	24.7
970441800	273	818	26	338	1469	0	0.3	24.5
970442100	258	809	26	320	1349	0	0.4	24.6
970442400	244	801	26	303	1230	0	0.6	24.4
970442700	229	793	25	284	1106	0	0.8	24.3
970443000	214	777	25	265	979	0	0.4	24.4
970443300	200	773	23	247	857	0	0.2	24.4
970443600	185	758	23	228	739	0	0.2	24.3
970443900	171	750	22	210	616	0	0.2	24.1
970444200	157	737	22	192	504	0	0.3	24.1
970444500	143	730	21	108	395	0	0.1	23.9
970444800	130	724	20	68	289	0	0.2	23.8
970445100	95	552	19	79	93	0	0.4	23.7
970445400	18	3	17	16	0	0	0.2	23.2
970445700	16	0	16	15	0	0	0.0	22.8
970446000	15	0	15	14	0	0	0.1	22.3
970446300	13	0	13	13	0	0	0.1	21.7
970446600	12	0	12	11	0	0	0.1	21.6
